SRN,name,gender,phone_1,phone_2,DOB,admission_date,email,blood_grp,guardian,mother,PIN,street,city,Aadhar_no,state,photo,UID,password,class_no,section_no
1041,Carissa Griffiths,F,7102685077,7744013382,2012-05-05,2006-11-24,Carissa.Griffiths.9951@school.ac.in,O+,Martin Emerson,Maxwell Barclay,381636,"3,Bhelupur",Sandila,30012928036.0,Uttar Pradesh,,stu1041,7317021,6,3
1042,Bryce Fenton,F,9645706303,9561925432,2012-09-05,2007-10-01,Bryce.Fenton.4064@school.ac.in,B+,Gil Drew,Maria Jarrett,223014,"25,Sigra",Sandi,82787171509.0,Uttar Pradesh,,stu1042,89676866,6,3
1043,Wendy Hudson,F,9677728507,8795664007,2006-08-26,2003-03-27,Wendy.Hudson.5801@school.ac.in,B-,Kieth Garcia,Mona Roberts,176318,"19,Shubhash nagar",Sirsi,933874000000.0,Uttar Pradesh,,stu1043,37022061,6,3
1044,Michael Gibson,M,9443238110,9187786712,2002-01-18,2010-07-30,Michael.Gibson.3740@school.ac.in,B-,Kendra Cooper,Maxwell Armstrong,162998,"14,Sigra",Thana Bhawan,865578000000.0,Uttar Pradesh,,stu1044,41268262,6,3
1045,Ally Miller,F,8456775317,8043906315,2012-09-04,2002-06-13,Ally.Miller.1938@school.ac.in,O+,Wade Cobb,Danny Wigley,715128,"9,Bhelupur",Pilkhuwa,33618922594.0,Uttar Pradesh,,stu1045,50269421,6,3
1046,Jacob Johnson,M,8313362253,9057305602,2005-12-21,2007-07-22,Jacob.Johnson.7960@school.ac.in,A+,Kurt Tate,Anthony Saunders,354265,"9,Laxmi nagar",Azamgarh,990575000000.0,Uttar Pradesh,,stu1046,93116957,6,3
1047,Sebastian Farrell,M,8029715400,9851583118,2003-12-12,2004-02-07,Sebastian.Farrell.2987@school.ac.in,B+,Deborah Styles,Parker Hale,162998,"38,shastri nagar",Thana Bhawan,342013000000.0,Uttar Pradesh,,stu1047,75742280,6,3
1048,Callie Woodley,F,9047966286,7402241633,2011-01-30,2005-09-15,Callie.Woodley.4162@school.ac.in,AB+,Kieth Ashwell,Cassidy Downing,354265,"24,Sigra",Azamgarh,551328000000.0,Uttar Pradesh,,stu1048,88136734,6,3
1049,Nate Nash,M,8603075853,9904936159,2011-11-07,2009-06-19,Nate.Nash.5096@school.ac.in,O-,Janice Boden,Jolene Ashwell,988782,"25,Sadar colony",Shahganj,943479000000.0,Uttar Pradesh,,stu1049,69098515,6,3
1050,Dasha Hood,F,8245653900,7173239206,2006-11-13,2008-12-20,Dasha.Hood.1980@school.ac.in,A+,Oliver Craig,Julius Harrison,553041,"27,Gandhi nagar",Safipur,63919235914.0,Uttar Pradesh,,stu1050,88559002,6,3
1051,Fred Hepburn,M,7211041307,9458724982,2010-04-04,2007-04-13,Fred.Hepburn.0773@school.ac.in,A+,Adela Dowson,Norah Skinner,988782,"6,Bhelupur",Shahganj,674945000000.0,Uttar Pradesh,,stu1051,31679055,6,3
1052,Martin Thomas,M,7507035892,7658696971,2005-05-22,2002-06-25,Martin.Thomas.4256@school.ac.in,A-,Samantha Fleming,Marla Gosling,162998,"25,Sigra",Thana Bhawan,723052000000.0,Uttar Pradesh,,stu1052,25863204,6,3
1053,Maxwell Barclay,M,9159880194,8676659608,2006-09-11,2012-10-10,Maxwell.Barclay.7442@school.ac.in,B+,Carolyn Whinter,Diane Blackwall,159494,"38,Sadar colony",Nautanwa,724471000000.0,Uttar Pradesh,,stu1053,71665104,6,3
1054,Jamie Groves,F,8413952067,9796231467,2004-07-29,2009-01-01,Jamie.Groves.5514@school.ac.in,AB-,Jacob Todd,Paula Kerr,834591,"16,Bhelupur",Najibabad,538461000000.0,Uttar Pradesh,,stu1054,17211226,6,3
1055,Benny Bailey,M,7001347162,8849847017,2005-05-13,2006-05-06,Benny.Bailey.3412@school.ac.in,A-,Liam Hunter,Nick Upton,409985,"8,Ram nagar",Orai,79082235634.0,Uttar Pradesh,,stu1055,60766619,6,3
1056,Carmella Daniells,F,7052624314,8519816377,2007-01-14,2003-04-05,Carmella.Daniells.5669@school.ac.in,AB-,Kimberly Carter,Javier Clarke,988782,"16,Bhelupur",Shahganj,40136325029.0,Uttar Pradesh,,stu1056,93412780,6,3
1057,Chad Higgs,M,9293798524,9374837309,2005-06-25,2006-08-20,Chad.Higgs.7999@school.ac.in,AB+,Anabel Russel,Catherine Emmott,834591,"37,Laxmi nagar",Najibabad,282642000000.0,Uttar Pradesh,,stu1057,3953275,6,3
1058,Mark Plumb,M,7683497180,7918031023,2007-09-17,2008-12-14,Mark.Plumb.5179@school.ac.in,AB+,Amelia Cavanagh,Anthony Olson,409985,"42,Lanka",Orai,60681116088.0,Uttar Pradesh,,stu1058,84905323,6,3
1059,Dakota Antcliff,F,7304946539,7763878328,2002-11-13,2011-02-30,Dakota.Antcliff.7610@school.ac.in,B-,Tom Martin,Rosemary Skinner,834591,"31,Bhelupur",Najibabad,435404000000.0,Uttar Pradesh,,stu1059,26398268,6,3
1060,Melinda Roman,F,8402819094,8211445999,2010-07-28,2007-11-23,Melinda.Roman.0211@school.ac.in,AB-,Peter Curtis,Barry Cassidy,580817,"20,shastri nagar",Varanasi,197935000000.0,Uttar Pradesh,,stu1060,45056667,6,3
1061,Ron Randall,M,7130765641,8810366629,2008-03-08,2005-01-02,Ron.Randall.6250@school.ac.in,O+,Ciara Alldridge,Boris Pearce,381636,"21,Mohan lal colony",Sandila,737187000000.0,Uttar Pradesh,,stu1061,32455125,7,1
1062,Danny Wigley,M,9121204301,9793350243,2010-05-15,2009-11-23,Danny.Wigley.6132@school.ac.in,A-,Oliver Flett,Aiden Mullins,363624,"17,shastri nagar",Sadabad,487654000000.0,Uttar Pradesh,,stu1062,20423276,7,1
1063,Mason Walker,M,9328618331,8804883479,2003-02-13,2003-12-28,Mason.Walker.9684@school.ac.in,B-,Eduardo Button,Johnny Michael,715128,"31,Sigra",Pilkhuwa,560617000000.0,Uttar Pradesh,,stu1063,50016263,7,1
1064,Josh Becker,M,7369608675,8597285345,2006-12-25,2004-10-02,Josh.Becker.2150@school.ac.in,O+,Barry Tyler,Kurt Long,381636,"42,Shubhash nagar",Sandila,548931000000.0,Uttar Pradesh,,stu1064,15787049,7,1
1065,Ada Callan,F,8492163957,9272258593,2012-10-14,2005-04-04,Ada.Callan.3481@school.ac.in,A-,Alan Blythe,Jacob Johnson,834591,"8,Shubhash nagar",Najibabad,90227707183.0,Uttar Pradesh,,stu1065,43364123,7,1
1066,Bart Dempsey,M,7078105934,9291873588,2012-01-19,2006-09-22,Bart.Dempsey.0183@school.ac.in,A+,Jamie Nelson,Manuel Norman,159494,"28,shastri nagar",Nautanwa,46879409264.0,Uttar Pradesh,,stu1066,49539683,7,1
1067,Logan Nanton,F,7857942199,7590613711,2007-05-23,2008-06-14,Logan.Nanton.3197@school.ac.in,AB+,Rocco Gilmour,Denis Barclay,409985,"19,shastri nagar",Orai,918055000000.0,Uttar Pradesh,,stu1067,1987003,7,1
1068,Jaylene Tutton,F,7548656124,9560981575,2012-12-13,2005-06-07,Jaylene.Tutton.1814@school.ac.in,O+,Marjorie Snow,Destiny Logan,354265,"42,Mohan lal colony",Azamgarh,668518000000.0,Uttar Pradesh,,stu1068,98829028,7,1
1069,Alexander Page ,M,8980436344,8830372451,2005-02-13,2010-01-02,Alexander.Page .5345@school.ac.in,O+,Catherine Emmott,Noemi Roth,580817,"7,Metro colony",Varanasi,629988000000.0,Uttar Pradesh,,stu1069,23799078,7,1
1070,Martin Hopkins,M,7188164050,8224130093,2009-01-26,2007-07-25,Martin.Hopkins.4610@school.ac.in,A-,Melody Bailey,Marilyn Reid,176318,"39,Metro colony",Sirsi,818759000000.0,Uttar Pradesh,,stu1070,35823818,7,1
1071,Maribel Poulton,F,9917979214,8259442461,2002-11-12,2002-05-28,Maribel.Poulton.5564@school.ac.in,O+,Jacob Bayliss,Aiden Bailey,580817,"22,Gandhi nagar",Varanasi,163493000000.0,Uttar Pradesh,,stu1071,58844796,7,1
1072,Wade Slater,M,8113254844,7061107260,2008-08-19,2009-09-05,Wade.Slater.7710@school.ac.in,A+,Britney Daniells,Matt Rixon,553041,"3,Sigra",Safipur,80334366991.0,Uttar Pradesh,,stu1072,18144404,7,1
1073,Harvey Clarkson,M,8810723478,9894553981,2007-11-13,2012-04-10,Harvey.Clarkson.8320@school.ac.in,A-,Britney Wren,Leilani Gordon,767202,"30,Bhelupur",Robertsganj,96267227897.0,Uttar Pradesh,,stu1073,71516731,7,1
1074,Enoch Goodman,M,7250989388,7893625459,2004-10-02,2006-11-23,Enoch.Goodman.2224@school.ac.in,B-,Mona Roberts,Hayden Slater,223014,"2,Gandhi nagar",Sandi,13303647189.0,Uttar Pradesh,,stu1074,627973,7,1
1075,Alan Blythe,M,9680481980,8690972638,2006-08-14,2010-02-28,Alan.Blythe.9155@school.ac.in,O-,Anthony Hancock,Mona Roberts,162998,"36,Sigra",Thana Bhawan,133107000000.0,Uttar Pradesh,,stu1075,20084114,7,1
1076,Luna Pearce,F,9046822846,8556743211,2005-07-21,2007-05-03,Luna.Pearce.8860@school.ac.in,AB+,Brad Graham,Courtney Gibson,409985,"16,Shubhash nagar",Orai,363957000000.0,Uttar Pradesh,,stu1076,48634671,7,1
1077,Penelope Stubbs,F,7610575242,8169772314,2003-01-05,2006-04-10,Penelope.Stubbs.1496@school.ac.in,A-,Alessandra Rowlands,Cedrick Anderson,381636,"18,Mohan lal colony",Sandila,204221000000.0,Uttar Pradesh,,stu1077,48275469,7,1
1078,Clint Franks,M,9048481468,8493265048,2002-11-28,2011-01-29,Clint.Franks.5300@school.ac.in,A-,Dorothy James,Lucy Mccormick,767202,"32,Laxmi nagar",Robertsganj,761970000000.0,Uttar Pradesh,,stu1078,54811648,7,1
1079,Kurt Ranks,M,7765121770,8699082582,2003-02-14,2011-12-29,Kurt.Ranks.3941@school.ac.in,A+,Mandy Heaton,Maria Jarrett,159494,"33,Sigra",Nautanwa,822566000000.0,Uttar Pradesh,,stu1079,66062651,7,1
1080,Denny Farrell,M,7736478387,8117589138,2002-02-26,2002-08-09,Denny.Farrell.1002@school.ac.in,AB+,Noah Bloom,Lillian Vaughn,518615,"37,Gandhi nagar",Naraura,110606000000.0,Uttar Pradesh,,stu1080,94431669,7,1
1081,Celina Flett,F,8352808773,8682764325,2004-03-04,2012-12-29,Celina.Flett.2020@school.ac.in,O-,Ally Miller,Domenic Ingham,176318,"19,Lanka",Sirsi,130943000000.0,Uttar Pradesh,,stu1081,42799754,7,2
1082,Emely Quinton,F,8513648992,7872960249,2004-01-02,2006-08-14,Emely.Quinton.7728@school.ac.in,AB-,Chester Giles,Noah Owens,162998,"16,shastri nagar",Thana Bhawan,101367000000.0,Uttar Pradesh,,stu1082,92384995,7,2
1083,Anthony Hancock,M,8813683119,7303302743,2005-11-05,2003-06-17,Anthony.Hancock.1977@school.ac.in,AB-,Johnathan Tindall,Joseph Thomas,553041,"21,Sadar colony",Safipur,65689114060.0,Uttar Pradesh,,stu1083,65713179,7,2
1084,Chad Eagle,M,7413874480,8389847635,2008-02-15,2012-11-20,Chad.Eagle.4435@school.ac.in,AB+,Samantha Kerr,Javier Saunders,381636,"7,Metro colony",Sandila,17708173493.0,Uttar Pradesh,,stu1084,39124356,7,2
1085,Lucas Wigley,M,9737390756,7007488458,2002-06-04,2005-08-26,Lucas.Wigley.6664@school.ac.in,A+,Marvin Farmer,Manuel Norman,363624,"44,Sigra",Sadabad,836189000000.0,Uttar Pradesh,,stu1085,5052414,7,2
1086,Martin Emerson,M,9614260779,8620338082,2008-09-01,2007-07-11,Martin.Emerson.3891@school.ac.in,B-,Gil Tutton,Madelyn Overson,715128,"29,Shubhash nagar",Pilkhuwa,792893000000.0,Uttar Pradesh,,stu1086,13296746,7,2
1087,Penelope Santos,F,8105657547,8507286143,2002-12-15,2006-11-10,Penelope.Santos.3968@school.ac.in,B+,Liam Shaw,Candice Denton,354265,"44,Sigra",Azamgarh,915204000000.0,Uttar Pradesh,,stu1087,96239704,7,2
1088,David Salt,M,9391884177,7900238671,2003-02-10,2007-04-08,David.Salt.9621@school.ac.in,B+,Marjorie Jeffery,Parker Gallacher,223014,"31,Shubhash nagar",Sandi,473640000000.0,Uttar Pradesh,,stu1088,5898351,7,2
1089,Jasmine Matthews,F,8305672664,9220787381,2009-12-25,2004-03-09,Jasmine.Matthews.2236@school.ac.in,AB+,Hazel Ellwood,Victoria Walker,767202,"49,Mohan lal colony",Robertsganj,84741727619.0,Uttar Pradesh,,stu1089,78563147,7,2
1090,Michelle Dobson,F,8064934564,7010126575,2002-02-20,2009-11-09,Michelle.Dobson.7519@school.ac.in,AB-,Summer Lynn,Kurt Robinson,162998,"12,Mohan lal colony",Thana Bhawan,941952000000.0,Uttar Pradesh,,stu1090,87981108,7,2
1091,Angelica Myatt,F,7691124258,7418802034,2007-07-17,2003-09-30,Angelica.Myatt.6985@school.ac.in,A-,Barry Murray,Rae Pearson,354265,"14,Shubhash nagar",Azamgarh,133863000000.0,Uttar Pradesh,,stu1091,54317035,7,2
1092,Stella Rosenbloom,F,8094788558,9648983518,2006-12-20,2005-02-13,Stella.Rosenbloom.2615@school.ac.in,A-,Leroy Weldon,Rocco Rivers,223014,"44,shastri nagar",Sandi,786128000000.0,Uttar Pradesh,,stu1092,21277387,7,2
1093,Melinda Eddison,F,9584784719,8789340937,2002-02-28,2004-09-22,Melinda.Eddison.8319@school.ac.in,O-,Lindsay Varley,Melania Simmons,409985,"49,Shubhash nagar",Orai,907983000000.0,Uttar Pradesh,,stu1093,37252283,7,2
1094,Sabina Mitchell,F,7448938407,7295232592,2003-07-29,2004-06-20,Sabina.Mitchell.2131@school.ac.in,A-,Kurt Robinson,Rosa Santos,223014,"25,Bhelupur",Sandi,305857000000.0,Uttar Pradesh,,stu1094,3706091,7,2
1095,Bernadette Franks,F,7293650858,7760002981,2004-10-30,2002-11-22,Bernadette.Franks.9366@school.ac.in,A+,Cassidy Downing,Irene Wright,553041,"14,Lanka",Safipur,791656000000.0,Uttar Pradesh,,stu1095,79693465,7,2
1096,Chester Osmond,M,7257699356,7019142539,2003-10-02,2005-06-20,Chester.Osmond.5368@school.ac.in,AB+,Hailey Cassidy,Jacqueline Plant,354265,"24,Metro colony",Azamgarh,3551403423.0,Uttar Pradesh,,stu1096,71138695,7,2
1097,Shannon Denton,F,8981728905,8309805096,2007-03-03,2009-05-23,Shannon.Denton.5806@school.ac.in,O+,Melody Bailey,Lucas Dixon,767202,"39,Shubhash nagar",Robertsganj,467437000000.0,Uttar Pradesh,,stu1097,46724147,7,2
1098,Lauren Drew,F,8145998049,8734823718,2012-09-26,2003-12-12,Lauren.Drew.3364@school.ac.in,B+,Wade Gray,Julian Raven,988782,"15,Mohan lal colony",Shahganj,532909000000.0,Uttar Pradesh,,stu1098,85050408,7,2
1099,Johnathan Cattell,M,8148491388,7779929502,2010-07-23,2006-02-04,Johnathan.Cattell.0124@school.ac.in,B+,Rufus Kennedy,Payton Blythe,988782,"23,Sigra",Shahganj,24914770475.0,Uttar Pradesh,,stu1099,74516535,7,2
1100,Aurelia May,F,9366081063,9691314211,2009-10-23,2012-10-10,Aurelia.May.8843@school.ac.in,A+,Maggie Robertson,Joy Santos,767202,"29,Sadar colony",Robertsganj,636598000000.0,Uttar Pradesh,,stu1100,62041682,7,2
1101,Benjamin London,M,8726485961,8247766747,2003-04-01,2011-03-09,Benjamin.London.7712@school.ac.in,AB-,Candace Veale,Rowan Addley,228535,"34,Lanka",Reoti,926993000000.0,Uttar Pradesh,,stu1101,98222569,7,3
1102,Valentina Wallace,F,7387370932,7767867967,2008-07-01,2012-10-01,Valentina.Wallace.9482@school.ac.in,O+,Marjorie Jeffery,Maxwell Eyres,715128,"36,shastri nagar",Pilkhuwa,878138000000.0,Uttar Pradesh,,stu1102,87586017,7,3
1103,Nicholas Judd,M,7217749198,9743308049,2007-11-05,2009-01-22,Nicholas.Judd.8664@school.ac.in,A+,Ethan Fisher,Catherine Emmott,715128,"5,shastri nagar",Pilkhuwa,400565000000.0,Uttar Pradesh,,stu1103,86897507,7,3
1104,Madelyn Overson,F,9002901679,8476130395,2007-03-19,2003-09-19,Madelyn.Overson.4162@school.ac.in,AB-,Nick Coll,Hope Stevenson,354265,"12,Gandhi nagar",Azamgarh,552382000000.0,Uttar Pradesh,,stu1104,84904557,7,3
1105,George Coll,M,8987987398,8382923019,2002-09-26,2010-11-30,George.Coll.9858@school.ac.in,AB+,Scarlett Stewart,Jaylene Tutton,767202,"29,Bhelupur",Robertsganj,21073570673.0,Uttar Pradesh,,stu1105,7206348,7,3
1106,Carl Graham,M,8949020036,7055250893,2006-01-26,2003-08-20,Carl.Graham.6770@school.ac.in,A+,Adelaide Broomfield,Mabel Russel,518615,"11,Gandhi nagar",Naraura,821092000000.0,Uttar Pradesh,,stu1106,23436696,7,3
1107,Sabina Jarvis,F,9773197850,8502343293,2008-03-23,2009-06-06,Sabina.Jarvis.5049@school.ac.in,O-,Tyler Bailey,Chad Brock,228535,"18,Sadar colony",Reoti,124934000000.0,Uttar Pradesh,,stu1107,15360680,7,3
1108,Bart Saunders,M,7167347440,8770708314,2011-03-13,2012-07-13,Bart.Saunders.0364@school.ac.in,AB+,Alice Speed,Skylar Judd,354265,"18,Sigra",Azamgarh,494865000000.0,Uttar Pradesh,,stu1108,4601380,7,3
