emp_id,name,gender,phone_1,phone_2,DOB,email,blood_grp,exp_years,salary,PIN,street,city,Aadhar_no,PAN_no,state,UID,password,curr
1047,Marvin Driscoll,M,9807138378,7052352026,2009-12-19,Marvin.Driscoll.9272@school.ac.in,A-,8,49656,804960,"38,Ram nagar",Rae Bareli,693998116416,9KUBLQTDK1,Uttar Pradesh,stf1047,34349400,1
1048,Olivia Boden,F,9324867508,9506179683,2009-12-18,Olivia.Boden.4910@school.ac.in,B+,0,20815,345808,"17,shastri nagar",Sahawar,837128616561,RVTEVHEQLX,Uttar Pradesh,stf1048,18987574,1
1049,Luke Yard,M,9996496111,9286721769,2005-08-06,Luke.Yard.3776@school.ac.in,A-,4,25175,221725,"44,Ram nagar",Sitapur,882995074494,UYSDG6G2QR,Uttar Pradesh,stf1049,55593433,1
1050,Tom Gibson,M,7250409688,7243390286,2007-01-01,Tom.Gibson.3459@school.ac.in,B-,11,48028,345808,"9,Ram nagar",Sahawar,20690066462,6EI3EUDB5L,Uttar Pradesh,stf1050,59510341,1
1051,Callie Ellis,F,7326560137,9095173741,2008-11-21,Callie.Ellis.1001@school.ac.in,B+,30,10628,804960,"32,Sigra",Rae Bareli,112624687265,LQM2DIB6WV,Uttar Pradesh,stf1051,37951048,1
1052,Sienna Nash,F,8017862698,9103666755,2008-01-25,Sienna.Nash.5500@school.ac.in,B-,2,38858,761821,"6,Mohan lal colony",Sahjanwa,604282170277,GFSXQ3ZHQD,Uttar Pradesh,stf1052,8539482,1
1053,Ron Dobson,M,8168078912,9199000730,2006-05-27,Ron.Dobson.5252@school.ac.in,B+,28,37723,351739,"41,Lanka",Achhnera,85148151463,8CSYQRWKNV,Uttar Pradesh,stf1053,20113437,1
1054,Dasha Farmer,F,8204633857,9781554094,2009-01-26,Dasha.Farmer.1651@school.ac.in,A-,22,38751,850680,"31,Laxmi nagar",Agra,522929835664,XLP3KNJ8MW,Uttar Pradesh,stf1054,8048498,1
1055,Rachael Moore,F,7748699570,8179112532,2005-06-30,Rachael.Moore.4095@school.ac.in,A+,30,33514,675996,"5,shastri nagar",Etawah,153407103487,4SEESXIAKJ,Uttar Pradesh,stf1055,66666920,1
1056,Morgan Russell,F,7979343214,8093105165,2012-12-23,Morgan.Russell.4393@school.ac.in,AB-,28,39315,357423,"33,Ram nagar",Sikandrabad,25410228992,H2UPIIZFH8,Uttar Pradesh,stf1056,49380351,1
1057,Aileen Needham,F,9592310666,9490691424,2008-09-11,Aileen.Needham.9551@school.ac.in,O+,25,37051,351739,"13,Metro colony",Achhnera,748603582655,A249FJ5ITD,Uttar Pradesh,stf1057,27561378,1
1058,Cara Collins,F,9290182453,7428127065,2003-06-25,Cara.Collins.0991@school.ac.in,AB-,25,45382,681077,"45,Bhelupur",Renukoot,651939871579,5XCR1HZY1U,Uttar Pradesh,stf1058,25482298,1
1059,Mary Plant,F,7640241103,7910745510,2003-01-23,Mary.Plant.3726@school.ac.in,AB-,13,39890,962909,"34,Bhelupur",Sandila,295590538461,5PW69F0XU7,Uttar Pradesh,stf1059,67333897,1
1060,George Allington,M,7301622795,7530829883,2012-06-30,George.Allington.0537@school.ac.in,AB+,30,38782,681077,"38,Shubhash nagar",Renukoot,764166756406,QBGJ11FMCY,Uttar Pradesh,stf1060,65877499,1
1061,Nathan Ashwell,M,7257257308,8016334467,2012-05-11,Nathan.Ashwell.3772@school.ac.in,AB+,6,41273,855570,"49,Bhelupur",Ujhani,796017931909,ERUE5EMHIC,Uttar Pradesh,stf1061,15612942,1
1062,Celina Drew,F,8386660972,9296669928,2007-03-08,Celina.Drew.3172@school.ac.in,AB+,9,38814,351739,"19,Laxmi nagar",Achhnera,766235594320,J7J33IL7NV,Uttar Pradesh,stf1062,35075956,1
1063,Mina Graham,F,9365284847,9845676261,2003-02-02,Mina.Graham.5177@school.ac.in,B-,19,39860,804960,"37,Mohan lal colony",Rae Bareli,773110696404,RL11TY911A,Uttar Pradesh,stf1063,2910050,1
1064,Noah Durrant,M,9835971378,8428949852,2010-04-26,Noah.Durrant.3239@school.ac.in,B-,23,45116,331062,"16,Shubhash nagar",Moradabad,345392321508,R9KR5OV48Q,Uttar Pradesh,stf1064,84634040,1
1065,Gloria Griffiths,F,7471563843,7184158400,2002-01-17,Gloria.Griffiths.0766@school.ac.in,AB+,10,11445,718472,"2,Sigra",Hardoi ,148689194126,BPR1BXF2CK,Uttar Pradesh,stf1065,52939205,1
1066,Alexa Jarrett,F,7848560188,9662173434,2002-06-12,Alexa.Jarrett.9534@school.ac.in,B-,11,21612,345808,"12,Mohan lal colony",Sahawar,881406843325,IS9JU83BCM,Uttar Pradesh,stf1066,86400835,1
1067,Nick Zaoui,M,7072199454,9290326776,2005-03-26,Nick.Zaoui.9936@school.ac.in,O+,26,46048,331062,"4,shastri nagar",Moradabad,438314205042,EGECUTDEZD,Uttar Pradesh,stf1067,90759407,1
1068,Lindsay Rothwell,F,7965270771,9705019618,2006-12-11,Lindsay.Rothwell.4074@school.ac.in,A+,5,18471,855570,"36,Bhelupur",Ujhani,345418643235,DZBD77QWSY,Uttar Pradesh,stf1068,17366954,1
1069,Johnny Anderson,M,7006097529,9765952004,2006-01-08,Johnny.Anderson.3629@school.ac.in,B+,21,37612,331062,"10,Sigra",Moradabad,375243276464,89XG8DLI9Z,Uttar Pradesh,stf1069,92840317,1
1070,Carl Skinner,M,7819300933,7005326483,2002-04-29,Carl.Skinner.9231@school.ac.in,B-,13,15304,427929,"44,shastri nagar","Shahabad, Hardoi",617015001256,9SZ98M4VQ0,Uttar Pradesh,stf1070,27912800,1
1071,Julius Cartwright,M,8124520184,9617540134,2011-01-26,Julius.Cartwright.0382@school.ac.in,O+,6,40302,221725,"17,Metro colony",Sitapur,512329090283,S4RMYCQOOH,Uttar Pradesh,stf1071,10991888,1
1072,Josh Gavin,M,7907903949,8173661469,2008-10-30,Josh.Gavin.8739@school.ac.in,O+,14,38944,675996,"35,Mohan lal colony",Etawah,449479203678,3TJHDDU82H,Uttar Pradesh,stf1072,8103891,1
1073,Sloane Price,F,7266624698,8062907505,2009-04-16,Sloane.Price.6026@school.ac.in,A-,11,39209,804960,"42,Lanka",Rae Bareli,578979441611,33MNJ8Y096,Uttar Pradesh,stf1073,26284664,1
1074,Aurelia Jobson,F,7257840544,9083707695,2009-04-10,Aurelia.Jobson.9019@school.ac.in,B+,18,21998,331062,"50,Bhelupur",Moradabad,687303937746,4SASJ39RR9,Uttar Pradesh,stf1074,47282556,1
1075,Enoch Connor,M,7109655232,9759104080,2005-10-13,Enoch.Connor.8280@school.ac.in,A-,5,24324,427929,"24,Gandhi nagar","Shahabad, Hardoi",180844402893,IXWDAESE8W,Uttar Pradesh,stf1075,3827677,1
1076,Hayden Dowson,M,9732316701,7154384113,2002-08-26,Hayden.Dowson.0958@school.ac.in,AB-,10,24681,221725,"22,Sigra",Sitapur,523744986408,KXQS3OTK1Q,Uttar Pradesh,stf1076,84548973,1
1077,Erick Lomax,M,8107372560,7174724819,2004-08-07,Erick.Lomax.1624@school.ac.in,B+,20,41893,221725,"17,Bhelupur",Sitapur,463392952150,YAVUV4257L,Uttar Pradesh,stf1077,99262731,1
1078,Andrea Simmons,F,9760311552,7382268860,2007-10-21,Andrea.Simmons.3077@school.ac.in,B+,22,29130,804960,"36,Bhelupur",Rae Bareli,101947235892,FV692CUH55,Uttar Pradesh,stf1078,16183597,1
1079,Roger Ingram,M,7657799972,7710331689,2004-02-05,Roger.Ingram.9033@school.ac.in,B-,0,23925,427929,"35,Mohan lal colony","Shahabad, Hardoi",455179358808,S1RMX746RO,Uttar Pradesh,stf1079,21464630,1
1080,Margot Wilcox,F,8660549375,8980203476,2007-10-12,Margot.Wilcox.4226@school.ac.in,AB+,14,19050,855570,"46,Metro colony",Ujhani,869665595412,EATO85JY9X,Uttar Pradesh,stf1080,57954700,1
1081,Ronald Cartwright,M,9003777717,9305933393,2004-06-05,Ronald.Cartwright.3265@school.ac.in,A-,11,49997,675996,"2,Mohan lal colony",Etawah,951943871373,RY5PSEL5FY,Uttar Pradesh,stf1081,48665955,1
1082,Kieth Gates,M,8616918814,7238912713,2004-01-11,Kieth.Gates.0252@school.ac.in,B-,30,24113,804960,"10,Lanka",Rae Bareli,319383316765,ZXUABJJ3L9,Uttar Pradesh,stf1082,42734084,1
1083,Selena Varndell,F,7214430079,8825499525,2009-05-23,Selena.Varndell.1426@school.ac.in,A+,9,37003,855570,"25,Metro colony",Ujhani,223560980672,3O1G0E046G,Uttar Pradesh,stf1083,39296629,1
1084,Andrea Shaw,F,7995458878,8231362284,2010-06-20,Andrea.Shaw.0607@school.ac.in,B-,4,30196,331062,"6,Mohan lal colony",Moradabad,683152270919,7REDIU8E4P,Uttar Pradesh,stf1084,70318772,1
1085,Sadie Davies,F,7376832311,8282269548,2003-10-28,Sadie.Davies.0362@school.ac.in,AB-,6,45315,850680,"35,Ram nagar",Agra,637709004697,189PXHJ1ZT,Uttar Pradesh,stf1085,85065414,1
1086,Bob Moore,M,8200480266,8192066670,2007-06-12,Bob.Moore.8100@school.ac.in,O-,4,25898,850680,"9,Mohan lal colony",Agra,39951819490,4FTH9LN3I1,Uttar Pradesh,stf1086,30320553,1
1087,Kaylee Isaac,F,7176688425,8837284497,2011-03-28,Kaylee.Isaac.4725@school.ac.in,B+,6,43773,718472,"44,Laxmi nagar",Hardoi ,662644078961,VL2AGPWDGN,Uttar Pradesh,stf1087,52686110,1
1088,Gladys Funnell,F,9991030489,8247448211,2008-07-08,Gladys.Funnell.9631@school.ac.in,B-,11,16693,681077,"8,Ram nagar",Renukoot,335035712426,JCID383PV0,Uttar Pradesh,stf1088,2644428,1
1089,Cassidy Tutton,F,8646991004,9069096656,2007-11-05,Cassidy.Tutton.5406@school.ac.in,B-,4,16965,675996,"49,Gandhi nagar",Etawah,47275822416,P9DEZUFA1K,Uttar Pradesh,stf1089,92024018,1
1090,Melinda Coleman,F,8635847959,7536951146,2010-10-18,Melinda.Coleman.5146@school.ac.in,O-,2,29366,427929,"26,Shubhash nagar","Shahabad, Hardoi",917414814620,0WNDR3GZUA,Uttar Pradesh,stf1090,48458636,1
1091,Elijah Vangness,M,9539669544,7662883331,2007-09-06,Elijah.Vangness.9317@school.ac.in,AB+,10,49078,804960,"48,Bhelupur",Rae Bareli,882781352737,HWPPNSAR50,Uttar Pradesh,stf1091,79348261,1
1092,Henry Andrews,M,9606799434,8810323025,2008-06-22,Henry.Andrews.6276@school.ac.in,B+,2,34043,804960,"38,Lanka",Rae Bareli,442537509194,8BBCUYLBWI,Uttar Pradesh,stf1092,87845222,1
1093,Bryon Howard,M,8702492597,7908818627,2006-10-23,Bryon.Howard.2811@school.ac.in,O+,30,49499,675996,"26,Laxmi nagar",Etawah,3684929457,P7MU68A0U0,Uttar Pradesh,stf1093,15464983,1
1094,Michaela Heaton,F,7266972643,7299816998,2008-04-30,Michaela.Heaton.1643@school.ac.in,A-,7,36119,357423,"19,Laxmi nagar",Sikandrabad,893877728995,IYH4Y2IB2G,Uttar Pradesh,stf1094,95298600,1
1095,Rosa Zaoui,F,8229827902,8680128290,2010-04-16,Rosa.Zaoui.5880@school.ac.in,B-,15,16073,675996,"16,Lanka",Etawah,880903459425,S2VOOIAE5P,Uttar Pradesh,stf1095,54653478,1
1096,Luke Dale,M,9161995716,9184380965,2006-08-03,Luke.Dale.2006@school.ac.in,A+,8,32340,221725,"37,Gandhi nagar",Sitapur,100431280856,71DX6YL77I,Uttar Pradesh,stf1096,99669104,1
1097,Maya Flanders,F,8693347343,7662624423,2005-12-05,Maya.Flanders.9352@school.ac.in,O+,13,38031,415991,"43,Metro colony",Azamgarh,214620647086,OHJPN3CBHF,Uttar Pradesh,stf1097,73929762,1
1098,Tom Mooney,M,8823738795,9009868574,2007-10-30,Tom.Mooney.2970@school.ac.in,B-,19,18081,918651,"8,Laxmi nagar",Tilhar,607903380431,XUAE38CN0E,Uttar Pradesh,stf1098,18453376,1
1099,Ronald Logan,M,7794674351,7149181339,2005-11-10,Ronald.Logan.5569@school.ac.in,AB+,22,47010,221725,"45,shastri nagar",Sitapur,37032466253,N09U2Q22W0,Uttar Pradesh,stf1099,35275014,1
1100,David Nanton,M,8260926387,9981204447,2010-12-25,David.Nanton.4552@school.ac.in,AB+,4,48565,675996,"3,Mohan lal colony",Etawah,133338354468,6GYBFPJF2Y,Uttar Pradesh,stf1100,97443165,1
